,Genes,Model
1,AT1G01120,FULL
2,AT1G01240,RFE
3,AT1G01520,FULL
4,AT1G01540,FULL
5,AT1G01720,LASSO
6,AT1G01940,FULL
7,AT1G02305,FULL
8,AT1G02820,RFE
9,AT1G02920,RFE
10,AT1G03220,LASSO
11,AT1G03610,FULL
12,AT1G03740,RFE
13,AT1G03880,LASSO+RFE
14,AT1G04400,FULL
15,AT1G04430,FULL
16,AT1G04560,FULL
17,AT1G05270,FULL
18,AT1G05510,LASSO
19,AT1G07280,RFE
20,AT1G07350,RFE
21,AT1G07380,FULL
22,AT1G07610,RFE
23,AT1G08380,RFE
24,AT1G08920,FULL
25,AT1G09330,FULL
26,AT1G10760,FULL
27,AT1G10950,FULL
28,AT1G11220,RFE
29,AT1G12200,FULL
30,AT1G13980,FULL
31,AT1G13990,FULL+LASSO
32,AT1G14610,FULL
33,AT1G16030,LASSO
34,AT1G16850,RFE
35,AT1G17170,RFE
36,AT1G17710,LASSO
37,AT1G19380,FULL
38,AT1G19400,FULL
39,AT1G19530,RFE
40,AT1G19640,LASSO
41,AT1G19670,FULL+LASSO+RFE
42,AT1G19960,RFE
43,AT1G20260,FULL
44,AT1G21600,FULL
45,AT1G21650,FULL
46,AT1G22160,RFE
47,AT1G22882,FULL
48,AT1G23110,LASSO
49,AT1G23130,FULL
50,AT1G23740,FULL+LASSO
51,AT1G23860,FULL
52,AT1G24100,FULL
53,AT1G24148,LASSO
54,AT1G24360,FULL
55,AT1G25440,FULL
56,AT1G26300,FULL
57,AT1G26550,FULL
58,AT1G26800,FULL+LASSO
59,AT1G27020,LASSO+RFE
60,AT1G27350,FULL
61,AT1G27480,FULL
62,AT1G29395,RFE
63,AT1G29720,FULL
64,AT1G30070,RFE
65,AT1G32150,FULL
66,AT1G32580,FULL
67,AT1G33590,FULL
68,AT1G35140,RFE
69,AT1G36310,FULL
70,AT1G42430,FULL
71,AT1G43690,FULL
72,AT1G43910,FULL
73,AT1G44350,LASSO
74,AT1G45474,RFE
75,AT1G48130,FULL
76,AT1G48630,FULL
77,AT1G48920,FULL
78,AT1G49140,FULL
79,AT1G51090,RFE
80,AT1G51805,FULL
81,AT1G52200,RFE
82,AT1G52230,FULL
83,AT1G52400,FULL
84,AT1G53160,RFE
85,AT1G53540,LASSO
86,AT1G54050,LASSO+RFE
87,AT1G54870,FULL+LASSO
88,AT1G55280,RFE
89,AT1G55310,LASSO+RFE
90,AT1G55530,FULL
91,AT1G55740,FULL
92,AT1G56045,RFE
93,AT1G56110,FULL
94,AT1G56170,LASSO
95,AT1G56600,LASSO
96,AT1G58007,RFE
97,AT1G58420,FULL+RFE
98,AT1G59860,LASSO+RFE
99,AT1G59870,LASSO
100,AT1G62200,FULL
101,AT1G63970,LASSO
102,AT1G64360,LASSO
103,AT1G64970,LASSO+RFE
104,AT1G65190,FULL
105,AT1G65480,LASSO
106,AT1G65730,RFE
107,AT1G66500,LASSO
108,AT1G66700,RFE
109,AT1G67090,RFE
110,AT1G67480,FULL
111,AT1G67640,FULL
112,AT1G67785,FULL
113,AT1G67860,LASSO
114,AT1G67865,LASSO
115,AT1G68010,LASSO
116,AT1G68660,LASSO
117,AT1G69250,FULL
118,AT1G69490,FULL
119,AT1G69680,FULL
120,AT1G69880,FULL
121,AT1G69890,RFE
122,AT1G70530,FULL
123,AT1G71130,LASSO
124,AT1G71360,FULL
125,AT1G71880,FULL
126,AT1G72510,FULL
127,AT1G72830,FULL
128,AT1G73010,LASSO
129,AT1G73040,LASSO
130,AT1G73190,LASSO+RFE
131,AT1G73390,FULL
132,AT1G73600,FULL+LASSO
133,AT1G73980,FULL
134,AT1G74880,RFE
135,AT1G74930,FULL+RFE
136,AT1G75080,FULL+RFE
137,AT1G75280,FULL
138,AT1G75830,LASSO+RFE
139,AT1G75940,FULL
140,AT1G76080,LASSO
141,AT1G76130,LASSO
142,AT1G76380,FULL
143,AT1G76980,FULL
144,AT1G77450,RFE
145,AT1G77770,FULL
146,AT1G77930,RFE
147,AT1G78570,FULL
148,AT1G78680,LASSO
149,AT1G79520,FULL+LASSO
150,AT1G80050,RFE
151,AT1G80230,RFE
152,AT1G80920,LASSO
153,AT2G00590,RFE
154,AT2G01060,FULL
155,AT2G02130,LASSO
156,AT2G13540,FULL
157,AT2G14878,LASSO
158,AT2G14890,RFE
159,AT2G14910,FULL
160,AT2G15020,FULL
161,AT2G15680,LASSO
162,AT2G16890,FULL+RFE
163,AT2G18020,RFE
164,AT2G18510,FULL
165,AT2G19310,LASSO+RFE
166,AT2G19790,FULL
167,AT2G20280,FULL
168,AT2G20560,LASSO+RFE
169,AT2G21130,RFE
170,AT2G21180,LASSO
171,AT2G21187,LASSO
172,AT2G21530,LASSO
173,AT2G21640,LASSO
174,AT2G21820,LASSO
175,AT2G22240,LASSO+RFE
176,AT2G23630,FULL
177,AT2G24940,RFE
178,AT2G25210,RFE
179,AT2G25625,LASSO
180,AT2G25680,LASSO
181,AT2G26060,RFE
182,AT2G26150,LASSO+RFE
183,AT2G26500,FULL
184,AT2G27190,LASSO
185,AT2G28640,FULL
186,AT2G29200,FULL
187,AT2G29500,FULL+RFE
188,AT2G29630,FULL
189,AT2G29970,FULL
190,AT2G29995,LASSO
191,AT2G30020,FULL
192,AT2G30550,LASSO
193,AT2G30870,RFE
194,AT2G31390,FULL
195,AT2G31510,FULL
196,AT2G32120,RFE
197,AT2G32690,RFE
198,AT2G33380,LASSO
199,AT2G33730,FULL
200,AT2G33740,LASSO
201,AT2G33830,LASSO+RFE
202,AT2G34500,FULL
203,AT2G34585,RFE
204,AT2G34810,RFE
205,AT2G35900,FULL
206,AT2G36790,FULL+LASSO+RFE
207,AT2G37170,LASSO
208,AT2G37340,LASSO
209,AT2G37620,LASSO
210,AT2G38025,LASSO
211,AT2G38310,FULL
212,AT2G38810,FULL
213,AT2G38860,RFE
214,AT2G39330,LASSO+RFE
215,AT2G39360,FULL
216,AT2G39770,FULL
217,AT2G39870,FULL
218,AT2G40080,FULL
219,AT2G40170,LASSO+RFE
220,AT2G40205,RFE
221,AT2G41100,FULL+RFE
222,AT2G41110,RFE
223,AT2G41140,FULL
224,AT2G41190,LASSO
225,AT2G41730,LASSO+RFE
226,AT2G41820,FULL
227,AT2G43010,RFE
228,AT2G45130,LASSO
229,AT2G45210,FULL
230,AT2G45403,LASSO+RFE
231,AT2G45720,FULL
232,AT2G45810,FULL
233,AT2G46340,LASSO
234,AT2G46390,LASSO
235,AT2G47180,LASSO+RFE
236,AT2G47770,LASSO
237,AT2G47800,FULL
238,AT3G01470,LASSO
239,AT3G01570,LASSO
240,AT3G01720,FULL
241,AT3G02130,FULL
242,AT3G02530,FULL
243,AT3G03000,RFE
244,AT3G03270,FULL+LASSO
245,AT3G03530,LASSO
246,AT3G03780,FULL
247,AT3G04470,LASSO
248,AT3G05030,RFE
249,AT3G05500,RFE
250,AT3G05790,FULL
251,AT3G07090,LASSO
252,AT3G07790,FULL
253,AT3G09100,FULL
254,AT3G09390,FULL
255,AT3G09640,LASSO
256,AT3G09900,RFE
257,AT3G10320,FULL
258,AT3G10860,RFE
259,AT3G11800,FULL
260,AT3G11830,FULL
261,AT3G12490,FULL
262,AT3G12580,FULL+LASSO+RFE
263,AT3G12600,FULL
264,AT3G13070,FULL
265,AT3G13410,FULL
266,AT3G14010,FULL
267,AT3G14100,FULL
268,AT3G14172,FULL
269,AT3G14180,FULL
270,AT3G14200,RFE
271,AT3G14210,RFE
272,AT3G15260,FULL
273,AT3G17010,RFE
274,AT3G17110,LASSO
275,AT3G17360,FULL
276,AT3G17390,FULL
277,AT3G17520,LASSO
278,AT3G18710,LASSO
279,AT3G19030,LASSO+RFE
280,AT3G20475,FULL
281,AT3G21380,FULL+LASSO
282,AT3G22231,RFE
283,AT3G22640,LASSO+RFE
284,AT3G22660,FULL
285,AT3G23170,LASSO
286,AT3G23300,FULL
287,AT3G24100,LASSO
288,AT3G24420,RFE
289,AT3G24500,LASSO+RFE
290,AT3G25230,LASSO
291,AT3G25240,LASSO
292,AT3G26450,FULL
293,AT3G26520,RFE
294,AT3G26660,LASSO+RFE
295,AT3G26744,FULL
296,AT3G27110,FULL
297,AT3G27660,LASSO
298,AT3G29075,RFE
299,AT3G42471,FULL
300,AT3G42900,FULL
301,AT3G43110,LASSO+RFE
302,AT3G43835,FULL
303,AT3G44280,RFE
304,AT3G45160,RFE
305,AT3G45245,RFE
306,AT3G46230,LASSO+RFE
307,AT3G46484,FULL
308,AT3G46830,FULL
309,AT3G47420,LASSO
310,AT3G47500,FULL
311,AT3G47833,LASSO
312,AT3G47840,FULL
313,AT3G48240,RFE
314,AT3G49430,FULL
315,AT3G50900,FULL+RFE
316,AT3G50950,FULL
317,AT3G51130,RFE
318,AT3G52430,FULL
319,AT3G52720,LASSO
320,AT3G53230,LASSO
321,AT3G53420,LASSO+RFE
322,AT3G53730,FULL
323,AT3G53750,FULL
324,AT3G53830,LASSO
325,AT3G54230,LASSO
326,AT3G54350,FULL
327,AT3G54500,LASSO
328,AT3G54640,FULL
329,AT3G55520,FULL
330,AT3G56070,FULL
331,AT3G56240,FULL
332,AT3G56400,RFE
333,AT3G57062,FULL
334,AT3G57480,LASSO
335,AT3G57490,FULL
336,AT3G57540,FULL
337,AT3G57680,LASSO+RFE
338,AT3G58560,FULL
339,AT3G59020,RFE
340,AT3G61430,LASSO
341,AT3G62260,FULL+LASSO+RFE
342,AT3G62290,RFE
343,AT3G63160,RFE
344,AT4G01060,LASSO
345,AT4G01360,LASSO
346,AT4G01870,FULL
347,AT4G02314,FULL
348,AT4G03050,RFE
349,AT4G03960,LASSO
350,AT4G04020,LASSO
351,AT4G04950,FULL
352,AT4G05530,FULL
353,AT4G08230,LASSO
354,AT4G08870,LASSO+RFE
355,AT4G09020,RFE
356,AT4G10320,RFE
357,AT4G12400,LASSO
358,AT4G12480,RFE
359,AT4G12830,LASSO
360,AT4G13830,RFE
361,AT4G14630,FULL
362,AT4G14690,FULL+RFE
363,AT4G14716,FULL
364,AT4G15210,LASSO+RFE
365,AT4G15248,LASSO
366,AT4G15410,FULL
367,AT4G15440,FULL+RFE
368,AT4G15760,FULL
369,AT4G15910,FULL
370,AT4G16000,FULL
371,AT4G16130,FULL
372,AT4G17090,LASSO
373,AT4G17500,FULL
374,AT4G18205,RFE
375,AT4G19170,LASSO+RFE
376,AT4G21860,LASSO
377,AT4G22570,RFE
378,AT4G24000,RFE
379,AT4G24450,LASSO
380,AT4G24920,FULL
381,AT4G25140,FULL+RFE
382,AT4G25200,FULL+LASSO+RFE
383,AT4G25360,FULL
384,AT4G25370,FULL
385,AT4G26110,FULL
386,AT4G26230,FULL
387,AT4G27070,LASSO+RFE
388,AT4G27160,RFE
389,AT4G27170,FULL+LASSO
390,AT4G27260,FULL
391,AT4G27280,RFE
392,AT4G27320,FULL
393,AT4G27560,FULL
394,AT4G28390,LASSO
395,AT4G28520,LASSO+RFE
396,AT4G29070,LASSO+RFE
397,AT4G29780,RFE
398,AT4G29905,FULL
399,AT4G30450,LASSO+RFE
400,AT4G30460,FULL+LASSO+RFE
401,AT4G32820,FULL
402,AT4G33040,RFE
403,AT4G33640,FULL+LASSO
404,AT4G34000,LASSO
405,AT4G34410,LASSO+RFE
406,AT4G34620,FULL
407,AT4G35090,RFE
408,AT4G35600,FULL
409,AT4G35750,FULL+LASSO
410,AT4G36220,RFE
411,AT4G36520,FULL
412,AT4G37180,RFE
413,AT4G37300,LASSO
414,AT4G37680,FULL
415,AT4G37990,RFE
416,AT4G38932,LASSO+RFE
417,AT4G39235,LASSO
418,AT4G39730,FULL
419,AT4G39910,FULL
420,AT5G01220,LASSO
421,AT5G01990,LASSO
422,AT5G02450,RFE
423,AT5G02790,FULL
424,AT5G03210,RFE
425,AT5G03545,RFE
426,AT5G04140,RFE
427,AT5G04750,RFE
428,AT5G05200,FULL
429,AT5G06140,FULL
430,AT5G06320,RFE
431,AT5G06760,RFE
432,AT5G06960,FULL
433,AT5G07290,FULL
434,AT5G07740,FULL
435,AT5G07920,FULL
436,AT5G08660,FULL
437,AT5G08760,RFE
438,AT5G09220,FULL
439,AT5G09570,RFE
440,AT5G10620,FULL+RFE
441,AT5G10770,FULL
442,AT5G10930,FULL+LASSO+RFE
443,AT5G11110,LASSO
444,AT5G11680,LASSO
445,AT5G11920,FULL
446,AT5G12020,LASSO+RFE
447,AT5G12030,FULL+LASSO+RFE
448,AT5G12200,LASSO
449,AT5G12230,FULL
450,AT5G13080,FULL
451,AT5G13970,FULL
452,AT5G14530,FULL
453,AT5G14590,FULL
454,AT5G14650,FULL
455,AT5G14660,FULL
456,AT5G15190,RFE
457,AT5G15410,FULL
458,AT5G15500,LASSO+RFE
459,AT5G16370,FULL+LASSO
460,AT5G17460,RFE
461,AT5G18460,FULL
462,AT5G18520,FULL
463,AT5G18650,FULL
464,AT5G19430,RFE
465,AT5G19580,RFE
466,AT5G19940,FULL
467,AT5G20320,FULL
468,AT5G20410,LASSO
469,AT5G20650,FULL
470,AT5G20950,FULL
471,AT5G22300,FULL
472,AT5G23750,LASSO
473,AT5G24160,LASSO
474,AT5G24770,LASSO
475,AT5G25280,LASSO
476,AT5G26920,RFE
477,AT5G27670,FULL
478,AT5G28030,FULL
479,AT5G28540,FULL
480,AT5G28935,FULL
481,AT5G35320,LASSO
482,AT5G37670,LASSO+RFE
483,AT5G40780,RFE
484,AT5G41670,FULL
485,AT5G42850,FULL+RFE
486,AT5G42880,FULL
487,AT5G43780,FULL
488,AT5G43850,RFE
489,AT5G44005,RFE
490,AT5G44110,RFE
491,AT5G44120,LASSO
492,AT5G44340,FULL+LASSO+RFE
493,AT5G44568,RFE
494,AT5G45680,FULL
495,AT5G46250,RFE
496,AT5G46290,FULL
497,AT5G46710,FULL
498,AT5G46780,FULL
499,AT5G46880,FULL
500,AT5G47560,LASSO
501,AT5G47720,RFE
502,AT5G47830,RFE
503,AT5G48380,RFE
504,AT5G48570,FULL+LASSO+RFE
505,AT5G49210,FULL
506,AT5G49730,LASSO+RFE
507,AT5G49740,RFE
508,AT5G49900,FULL
509,AT5G50380,FULL
510,AT5G51440,FULL+LASSO+RFE
511,AT5G51450,FULL
512,AT5G52310,RFE
513,AT5G52640,LASSO+RFE
514,AT5G53480,FULL
515,AT5G53486,LASSO
516,AT5G53490,FULL
517,AT5G53550,FULL
518,AT5G54270,RFE
519,AT5G55190,RFE
520,AT5G55480,FULL
521,AT5G55570,RFE
522,AT5G56000,FULL
523,AT5G57040,LASSO
524,AT5G57220,RFE
525,AT5G57550,LASSO
526,AT5G57815,LASSO
527,AT5G58160,FULL
528,AT5G58270,FULL
529,AT5G58330,LASSO
530,AT5G58770,RFE
531,AT5G59220,RFE
532,AT5G59310,LASSO
533,AT5G59320,FULL+RFE
534,AT5G59720,LASSO+RFE
535,AT5G59730,FULL
536,AT5G59780,RFE
537,AT5G61030,FULL
538,AT5G61380,LASSO
539,AT5G61660,FULL
540,AT5G62310,FULL
541,AT5G62960,FULL
542,AT5G63400,FULL
543,AT5G63850,FULL
544,AT5G64240,LASSO
545,AT5G65480,LASSO+RFE
546,AT5G65660,RFE
547,AT5G65870,RFE
548,AT5G66120,FULL
549,AT5G66400,LASSO
550,AT5G66490,RFE
551,ATCG00150,FULL
552,ATCG00480,FULL
553,ATCG00680,RFE
554,ATCG01110,RFE
555,ATMG00090,LASSO+RFE
556,ATMG00220,RFE
557,ATMG00460,LASSO
558,ATMG00470,LASSO
559,ATMG09960,FULL+LASSO
