"Genes","Liu","Zhang2021","Blair","LiWang","Zhang2017"
"AT1G01120",FALSE,TRUE,FALSE,TRUE,TRUE
"AT1G01240",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G01520",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G01540",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G01720",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G01940",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G02305",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G02820",FALSE,TRUE,FALSE,TRUE,FALSE
"AT1G02920",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G03220",TRUE,FALSE,FALSE,TRUE,TRUE
"AT1G03610",TRUE,FALSE,TRUE,FALSE,TRUE
"AT1G03740",FALSE,TRUE,TRUE,FALSE,TRUE
"AT1G03880",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G04400",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G04430",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G04560",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G05270",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G05510",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G07280",TRUE,FALSE,FALSE,FALSE,TRUE
"AT1G07350",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G07380",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G07610",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G08380",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G08920",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G09330",FALSE,TRUE,FALSE,TRUE,FALSE
"AT1G10760",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G10950",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G11220",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G12200",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G13980",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G13990",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G14610",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G16030",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G16850",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G17170",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G17710",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G19380",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G19400",FALSE,TRUE,TRUE,FALSE,TRUE
"AT1G19530",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G19640",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G19670",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G19960",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G20260",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G21600",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G21650",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G22160",FALSE,TRUE,FALSE,TRUE,FALSE
"AT1G22882",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G23110",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G23130",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G23740",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G23860",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G24100",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G24148",FALSE,TRUE,TRUE,TRUE,FALSE
"AT1G24360",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G25440",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G26300",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G26550",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G26800",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G27020",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G27350",FALSE,TRUE,TRUE,TRUE,FALSE
"AT1G27480",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G29395",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G29720",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G30070",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G32150",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G32580",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G33590",FALSE,TRUE,FALSE,TRUE,TRUE
"AT1G35140",TRUE,FALSE,FALSE,TRUE,FALSE
"AT1G36310",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G42430",TRUE,TRUE,FALSE,FALSE,FALSE
"AT1G43690",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G43910",TRUE,TRUE,FALSE,FALSE,TRUE
"AT1G44350",FALSE,TRUE,TRUE,FALSE,FALSE
"AT1G45474",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G48130",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G48630",FALSE,FALSE,TRUE,TRUE,FALSE
"AT1G48920",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G49140",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G51090",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G51805",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G52200",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G52230",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G52400",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G53160",TRUE,TRUE,TRUE,FALSE,TRUE
"AT1G53540",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G54050",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G54870",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G55280",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G55310",FALSE,TRUE,TRUE,FALSE,TRUE
"AT1G55530",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G55740",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G56045",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G56110",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G56170",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G56600",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G58007",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G58420",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G59860",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G59870",FALSE,TRUE,FALSE,TRUE,TRUE
"AT1G62200",FALSE,TRUE,FALSE,FALSE,TRUE
"AT1G63970",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G64360",FALSE,TRUE,FALSE,TRUE,FALSE
"AT1G64970",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G65190",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G65480",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G65730",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G66500",TRUE,TRUE,TRUE,FALSE,TRUE
"AT1G66700",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G67090",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G67480",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G67640",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G67785",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G67860",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G67865",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G68010",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G68660",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G69250",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G69490",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G69680",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G69880",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G69890",TRUE,TRUE,TRUE,TRUE,FALSE
"AT1G70530",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G71130",FALSE,TRUE,FALSE,FALSE,FALSE
"AT1G71360",FALSE,FALSE,TRUE,FALSE,TRUE
"AT1G71880",FALSE,TRUE,TRUE,FALSE,TRUE
"AT1G72510",FALSE,TRUE,TRUE,FALSE,FALSE
"AT1G72830",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G73010",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G73040",FALSE,FALSE,TRUE,TRUE,FALSE
"AT1G73190",FALSE,FALSE,TRUE,FALSE,FALSE
"AT1G73390",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G73600",TRUE,TRUE,TRUE,TRUE,TRUE
"AT1G73980",FALSE,TRUE,TRUE,FALSE,FALSE
"AT1G74880",FALSE,TRUE,FALSE,TRUE,FALSE
"AT1G74930",TRUE,TRUE,FALSE,TRUE,FALSE
"AT1G75080",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G75280",FALSE,FALSE,FALSE,TRUE,FALSE
"AT1G75830",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G75940",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G76080",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G76130",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G76380",FALSE,FALSE,FALSE,FALSE,TRUE
"AT1G76980",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G77450",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G77770",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G77930",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G78570",FALSE,FALSE,FALSE,TRUE,TRUE
"AT1G78680",FALSE,TRUE,FALSE,TRUE,TRUE
"AT1G79520",FALSE,TRUE,TRUE,TRUE,TRUE
"AT1G80050",FALSE,FALSE,TRUE,TRUE,TRUE
"AT1G80230",FALSE,FALSE,FALSE,FALSE,FALSE
"AT1G80920",TRUE,TRUE,FALSE,TRUE,TRUE
"AT2G00590",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G01060",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G02130",FALSE,TRUE,FALSE,FALSE,TRUE
"AT2G13540",FALSE,TRUE,FALSE,FALSE,FALSE
"AT2G14878",FALSE,TRUE,FALSE,TRUE,FALSE
"AT2G14890",FALSE,TRUE,FALSE,FALSE,TRUE
"AT2G14910",FALSE,TRUE,TRUE,TRUE,FALSE
"AT2G15020",FALSE,TRUE,TRUE,TRUE,FALSE
"AT2G15680",FALSE,TRUE,FALSE,TRUE,FALSE
"AT2G16890",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G18020",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G18510",FALSE,TRUE,TRUE,FALSE,TRUE
"AT2G19310",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G19790",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G20280",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G20560",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G21130",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G21180",FALSE,TRUE,TRUE,FALSE,TRUE
"AT2G21187",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G21530",FALSE,FALSE,FALSE,TRUE,FALSE
"AT2G21640",FALSE,FALSE,TRUE,TRUE,TRUE
"AT2G21820",FALSE,FALSE,TRUE,TRUE,TRUE
"AT2G22240",FALSE,TRUE,TRUE,TRUE,FALSE
"AT2G23630",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G24940",FALSE,FALSE,TRUE,TRUE,TRUE
"AT2G25210",FALSE,FALSE,FALSE,TRUE,FALSE
"AT2G25625",FALSE,TRUE,TRUE,TRUE,FALSE
"AT2G25680",FALSE,TRUE,FALSE,FALSE,FALSE
"AT2G26060",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G26150",TRUE,TRUE,TRUE,FALSE,TRUE
"AT2G26500",FALSE,FALSE,FALSE,FALSE,TRUE
"AT2G27190",FALSE,TRUE,FALSE,FALSE,FALSE
"AT2G28640",FALSE,FALSE,FALSE,FALSE,TRUE
"AT2G29200",FALSE,TRUE,FALSE,FALSE,TRUE
"AT2G29500",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G29630",FALSE,FALSE,FALSE,FALSE,TRUE
"AT2G29970",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G29995",FALSE,FALSE,FALSE,TRUE,TRUE
"AT2G30020",TRUE,FALSE,FALSE,FALSE,TRUE
"AT2G30550",FALSE,FALSE,TRUE,TRUE,FALSE
"AT2G30870",FALSE,FALSE,FALSE,TRUE,TRUE
"AT2G31390",FALSE,FALSE,FALSE,TRUE,TRUE
"AT2G31510",FALSE,TRUE,FALSE,FALSE,FALSE
"AT2G32120",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G32690",FALSE,TRUE,FALSE,TRUE,FALSE
"AT2G33380",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G33730",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G33740",FALSE,FALSE,TRUE,FALSE,TRUE
"AT2G33830",FALSE,TRUE,FALSE,TRUE,TRUE
"AT2G34500",FALSE,FALSE,TRUE,FALSE,TRUE
"AT2G34585",FALSE,TRUE,FALSE,TRUE,FALSE
"AT2G34810",FALSE,TRUE,TRUE,FALSE,FALSE
"AT2G35900",FALSE,TRUE,TRUE,FALSE,TRUE
"AT2G36790",TRUE,FALSE,TRUE,TRUE,FALSE
"AT2G37170",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G37340",FALSE,FALSE,TRUE,TRUE,TRUE
"AT2G37620",FALSE,TRUE,FALSE,FALSE,TRUE
"AT2G38025",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G38310",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G38810",FALSE,FALSE,FALSE,TRUE,FALSE
"AT2G38860",FALSE,FALSE,TRUE,TRUE,FALSE
"AT2G39330",FALSE,TRUE,FALSE,FALSE,FALSE
"AT2G39360",FALSE,TRUE,FALSE,FALSE,FALSE
"AT2G39770",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G39870",FALSE,FALSE,FALSE,TRUE,TRUE
"AT2G40080",FALSE,FALSE,TRUE,TRUE,TRUE
"AT2G40170",FALSE,FALSE,TRUE,FALSE,FALSE
"AT2G40205",FALSE,FALSE,TRUE,TRUE,FALSE
"AT2G41100",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G41110",FALSE,TRUE,FALSE,TRUE,TRUE
"AT2G41140",FALSE,TRUE,TRUE,FALSE,FALSE
"AT2G41190",FALSE,TRUE,TRUE,TRUE,TRUE
"AT2G41730",FALSE,FALSE,TRUE,TRUE,FALSE
"AT2G41820",FALSE,FALSE,FALSE,FALSE,TRUE
"AT2G43010",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G45130",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G45210",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G45403",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G45720",FALSE,FALSE,FALSE,FALSE,TRUE
"AT2G45810",FALSE,FALSE,FALSE,FALSE,FALSE
"AT2G46340",FALSE,FALSE,TRUE,TRUE,FALSE
"AT2G46390",FALSE,FALSE,TRUE,TRUE,FALSE
"AT2G47180",TRUE,TRUE,TRUE,TRUE,TRUE
"AT2G47770",FALSE,FALSE,TRUE,TRUE,TRUE
"AT2G47800",FALSE,TRUE,FALSE,TRUE,FALSE
"AT3G01470",FALSE,TRUE,FALSE,TRUE,FALSE
"AT3G01570",FALSE,FALSE,TRUE,FALSE,FALSE
"AT3G01720",FALSE,TRUE,TRUE,FALSE,TRUE
"AT3G02130",FALSE,TRUE,TRUE,FALSE,FALSE
"AT3G02530",FALSE,TRUE,TRUE,FALSE,FALSE
"AT3G03000",FALSE,TRUE,FALSE,TRUE,TRUE
"AT3G03270",FALSE,TRUE,TRUE,TRUE,TRUE
"AT3G03530",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G03780",FALSE,FALSE,TRUE,TRUE,TRUE
"AT3G04470",FALSE,TRUE,FALSE,FALSE,FALSE
"AT3G05030",FALSE,TRUE,TRUE,TRUE,FALSE
"AT3G05500",FALSE,TRUE,FALSE,TRUE,TRUE
"AT3G05790",FALSE,FALSE,FALSE,TRUE,TRUE
"AT3G07090",TRUE,TRUE,TRUE,FALSE,TRUE
"AT3G07790",FALSE,TRUE,TRUE,FALSE,FALSE
"AT3G09100",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G09390",FALSE,TRUE,TRUE,TRUE,TRUE
"AT3G09640",FALSE,TRUE,TRUE,TRUE,TRUE
"AT3G09900",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G10320",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G10860",FALSE,FALSE,FALSE,TRUE,FALSE
"AT3G11800",FALSE,TRUE,TRUE,TRUE,TRUE
"AT3G11830",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G12490",FALSE,TRUE,FALSE,FALSE,FALSE
"AT3G12580",TRUE,TRUE,TRUE,TRUE,TRUE
"AT3G12600",FALSE,FALSE,TRUE,FALSE,FALSE
"AT3G13070",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G13410",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G14010",FALSE,TRUE,TRUE,FALSE,FALSE
"AT3G14100",FALSE,FALSE,FALSE,TRUE,TRUE
"AT3G14172",FALSE,TRUE,FALSE,FALSE,FALSE
"AT3G14180",FALSE,TRUE,FALSE,FALSE,TRUE
"AT3G14200",TRUE,TRUE,TRUE,TRUE,TRUE
"AT3G14210",FALSE,TRUE,TRUE,FALSE,TRUE
"AT3G15260",FALSE,TRUE,FALSE,FALSE,TRUE
"AT3G17010",FALSE,FALSE,FALSE,FALSE,TRUE
"AT3G17110",FALSE,FALSE,FALSE,FALSE,FALSE
"AT3G17360",FALSE,FALSE,FALSE,TRUE,FALSE
"AT3G17390",FALSE,FALSE,TRUE,TRUE,TRUE
"AT3G17520",FALSE,FALSE,TRUE,FALSE,FALSE
"AT3G18710",TRUE,TRUE,TRUE,FALSE,TRUE
